	Mean	Standard Deviation	Mean	Standard Deviation	Mean	Standard Deviation	Mean	Standard Deviation
	Statistics On Rows of [Book9]H-HPDE!Col(B):Col(C34)	Statistics On Rows of [Book9]H-HPDE!Col(B):Col(C34)	Statistics On Rows of [Book1]H-CD18!Col(B):Col(C32)	Statistics On Rows of [Book1]H-CD18!Col(B):Col(C32)	Statistics On Rows of [Book2]H-MiaPaCa!Col(A1):Col(A31)	Statistics On Rows of [Book2]H-MiaPaCa!Col(A1):Col(A31)	Statistics On Rows of [Book8]H-GN!Col(B):Col(W)	Statistics On Rows of [Book8]H-GN!Col(B):Col(W)
719.421	1.96361841644672	1.24356061079458	2.08935380567144	1.98629665266327	1.00915409929806	1.71825353910042	1.56993739727709	1.1138296300517
720.629	1.88971929215265	1.20221538236814	2.00445635362401	1.91998857489403	0.95031041808795	1.69115080633804	1.48590407260714	1.09662863586324
721.838	1.85442775221148	1.15570690583495	1.95580245355234	1.8773477224452	0.902877129563741	1.64883766251847	1.415846804983	1.07615723558366
723.046	1.79377659755591	1.12254423034431	1.92881970656459	1.85394980510177	0.878548693331584	1.62250521556297	1.32356820675726	1.04182493429549
724.253	1.74656366722533	1.09412227139762	1.86608870331946	1.82782099507959	0.844380431513419	1.59635168190085	1.22239165839954	0.991327904059148
725.46	1.71916786574545	1.07730004886059	1.8185842203071	1.84133125380745	0.79256269004847	1.57681849204338	1.12776235880635	0.924022100657739
726.667	1.70769681933066	1.07193940084802	1.73661304699688	1.80391250072932	0.748106624727601	1.53500085994489	1.05597557320795	0.884267144804281
727.874	1.65401157448389	1.05825087122442	1.65691602814384	1.8002771688851	0.717333086181828	1.51934966593475	0.995937251883769	0.83607064497736
729.08	1.6314905850186	1.03322242325736	1.53798401593334	1.75345558143744	0.652597907224511	1.48235221155599	0.916900989563637	0.787653495481277
730.286	1.60056619505155	0.995964744286977	1.40579981625589	1.67901781988441	0.619740257405417	1.47005680779091	0.84871207957603	0.755555925228874
731.492	1.56509986710241	0.964094731903859	1.30452893093871	1.6033872843234	0.586852946241928	1.45152812971282	0.795561537679834	0.740928666088631
732.697	1.53001312409987	0.929229724305663	1.24944825250143	1.58055605900227	0.548047553022373	1.43630567952245	0.734675674662408	0.69882568782904
733.903	1.51823047171605	0.918292497383106	1.12234632636175	1.50016263963239	0.498085641230797	1.40522262183322	0.655247939795096	0.672050062172892
735.107	1.49247410599324	0.899393895720726	1.07511567524931	1.47776933624222	0.455837581229161	1.36484120204586	0.594560945980721	0.633967329939394
736.312	1.49078817660091	0.885659696245023	1.02773798194185	1.45927010338075	0.39790549272055	1.30522787860424	0.543665237977074	0.597053685140351
737.516	1.44323706563998	0.871135082421733	0.980198536205409	1.45616946023342	0.364870526954391	1.27323768650671	0.463150308258525	0.572052263421968
738.72	1.38533702068839	0.864041545161544	0.945930203971636	1.44090605772495	0.340266375691611	1.23552494061135	0.387066645936675	0.559750602552493
739.924	1.32921928818648	0.858930515872819	0.919057467209035	1.41319537867313	0.306849670273384	1.20458101535861	0.343528575838679	0.552926898276894
741.127	1.2848049162725	0.862384727000954	0.86914155778903	1.36371309301775	0.30927791699129	1.21185766843951	0.300800944429328	0.553696062626824
742.33	1.21057318057633	0.859443638814628	0.837546095183028	1.32748255576494	0.297828740558312	1.19078385076488	0.247953053983334	0.560024609679533
743.532	1.16065244438301	0.860643949881763	0.754092761176228	1.25145822207344	0.274816983859118	1.14664672224834	0.17702042564797	0.545863205555459
744.735	1.09929734317456	0.84739497261995	0.707894326236788	1.2294149274311	0.261788320663455	1.13563154686698	0.129226884974997	0.529393128155176
745.937	1.01323849576009	0.826622476387682	0.653851044149246	1.20097583184531	0.276997467669844	1.13808234925654	0.0581782687889059	0.524905175598
747.139	0.938427543231564	0.807322943447847	0.594723603868224	1.17065796052526	0.244125701635659	1.10727609253676	0.00771051408551351	0.529303999810333
748.34	0.847148374500522	0.787599194149531	0.530250254783834	1.11930866958739	0.219539359015458	1.07926297159351	-0.0179444626571201	0.538618374058434
