"color" "LD1" "LD2" "LD3"
"V1" 1 -2.60890943108099 2.46071673650272 0.980053002302405
"V2" 1 -2.58996940794742 2.28151122563808 1.18653855493645
"V3" 1 -2.42813784959457 1.45532250331935 1.08690187625735
"V4" 1 -2.55626803303894 1.46536511185419 1.2894711279599
"V5" 1 -1.826663994889 1.63860397963253 0.270170477922755
"V6" 1 -2.75048528989478 2.09800294535309 0.371620633031163
"V7" 1 -2.2156490072449 1.51040111571732 1.48060174684415
"V8" 1 -2.60755740691228 1.51202489689822 0.773502912801477
"V9" 1 -2.08316875363096 1.81769439296307 0.578411918839106
"V10" 1 -2.92364728099608 2.24425874022101 0.976639534860951
"V11" 1 -1.95556862355538 1.16830011779258 1.22088341022207
"V12" 1 -2.66294360297728 1.99314816280289 0.94719777152968
"V13" 1 -2.52987877664534 2.03252757868039 1.06917544833129
"V14" 1 0.344594957260128 1.46508650202401 0.760340749916251
"V15" 1 -2.56070848917151 2.01840264100052 0.840538805001378
"V16" 1 -2.70214216220649 2.20820516092875 1.26626540907286
"V17" 1 -0.679486253457804 2.38201880631084 -0.566793275348075
"V18" 1 -1.54524776806508 1.675968726772 1.42148416158937
"V19" 1 -3.40993775041361 2.37036134065631 1.02957395473639
"V20" 1 -3.36412803167268 2.89491566470491 1.90473240192839
"V21" 1 -1.56544428904558 1.1458929423206 2.43929986041567
"V22" 1 -2.1260613865621 0.83570100641759 1.3341121965306
"V23" 1 -3.211170182791 0.818378655783775 0.96099250594297
"V24" 1 -2.2658309545024 1.96151229589485 0.823625179854639
"V25" 1 -1.87758101941426 -0.0895377740436945 2.38298481688397
"V26" 1 -2.3252146410286 2.27628801806538 -0.188449472628381
"V27" 1 -3.57411213826247 1.44174075901388 1.59343502305054
"V28" 1 -2.6668069347656 1.73611474280635 0.618444781773627
"V29" 1 -3.06192220701894 0.588045314921678 0.154400608515852
"V30" 1 -2.78737021405679 2.21179236797069 0.27095592308129
"V31" 1 -2.37465185832236 1.65272529863048 1.74706481989199
"V32" 1 -2.97891541821548 2.73203106262005 0.169198036449391
"V33" 1 -2.77108463300943 1.83679141197099 0.603159192228503
"V34" 1 -2.75583263010031 2.92651000269522 0.91865221364826
"V35" 1 -1.02836808648783 2.6221517555287 -0.567718605664319
"V1.1" 2 -1.82273454691539 -3.40454685464267 0.91203273203426
"V2.1" 2 1.11409942979387 -2.00503942315186 1.17434925052339
"V3.1" 2 1.41078465550802 -1.85415255440176 0.896534805603925
"V4.1" 2 -0.13322701566316 -1.88751213762634 0.547861674407962
"V5.1" 2 0.357356158369388 -2.42687177585224 -0.10560690293819
"V6.1" 2 0.224171371810255 -2.05991641564698 -1.56099637487947
"V7.1" 2 -0.925325770759971 -3.49442885987503 1.31884371918173
"V8.1" 2 0.1744972991108 -4.24406505139805 1.15479026171564
"V9.1" 2 0.191401383675691 -3.10044327077877 0.0740411779420845
"V10.1" 2 -0.726858543962447 -2.62298237913099 0.0875018245350138
"V11.1" 2 -0.253210741836727 -3.4771988117454 2.32625868745675
"V12.1" 2 0.290854142060027 -1.65758556439957 0.498224984156897
"V13.1" 2 -2.0785060274971 -6.01689768351624 1.90914933927538
"V14.1" 2 1.04763975427911 -3.9519852438778 -0.492332715317185
"V15.1" 2 0.25996702592247 -2.31760387660486 1.265549494483
"V16.1" 2 -0.387457688715564 -3.08350927979659 0.526461326826553
"V17.1" 2 0.519650684717647 -3.61238891967549 -1.0408227049541
"V18.1" 2 0.983825422699061 -2.86213603609235 0.548243085524114
"V19.1" 2 -0.627143784177686 -2.43195640812255 0.804935557162865
"V20.1" 2 0.741143383837816 -0.787665967044621 1.28082595084865
"V21.1" 2 2.31236289168358 -2.7152831700625 0.808027038905407
"V22.1" 2 -0.274416645411943 -2.29150669493645 0.147225429257634
"V23.1" 2 -0.149143184913758 -3.48040781967555 1.560598959087
"V24.1" 2 0.147542438020465 -1.00198922671835 1.30551563192679
"V25.1" 2 1.29137283848328 -2.20713757867736 0.857437609509313
"V26.1" 2 -0.74002111821466 -2.17574053610306 0.624788381637515
"V27.1" 2 0.68474214056995 -1.93377513352349 -0.0524625969273101
"V28.1" 2 -0.980768375731048 -1.73312024368344 0.472432105495021
"V29.1" 2 -0.951326864248682 -2.06743177496028 0.292612446034065
"V30.1" 2 -1.53993078799873 -3.68864185673484 0.717070583714189
"V31.1" 2 -1.76142730763889 -3.52459173996922 0.932499758753837
"V32.1" 2 0.644808580572923 -2.70672787066812 -0.819366061829955
"V33.1" 2 -0.347080239914305 -1.52480422343986 0.585947713242067
"V1.2" 3 -1.59225322761266 -2.36020889385705 -3.40748397545962
"V2.2" 3 -1.11604234197185 0.453838029964036 -3.04935338075745
"V3.2" 3 -2.57072514454725 2.51143632991863 -2.11769747788844
"V4.2" 3 -1.03250297554774 -1.16812441333309 -1.37737673771129
"V5.2" 3 -0.762755368716275 -0.415118348787383 -2.28843658356738
"V6.2" 3 -2.29932237259651 1.00421297425101 -2.63432786447304
"V7.2" 3 -0.683346087240086 -0.438196062164671 -1.7908878658752
"V8.2" 3 -1.41583130660885 -0.97651376475137 -0.0468651194784639
"V9.2" 3 -3.54992245677577 -0.171330879821189 -3.18908678792757
"V10.2" 3 -0.852137081856142 1.74892289920932 -1.82187949780249
"V11.2" 3 -1.32421712843997 -3.35365468544039 -3.22320777143211
"V12.2" 3 -0.964156052341016 -0.393868136791789 0.334936263135823
"V13.2" 3 -1.59083833337545 -0.461623997105602 -1.96684699228639
"V14.2" 3 -2.07773919970168 -1.33657410985397 -0.876576717084932
"V15.2" 3 -3.0196632262376 1.156798927485 -0.620326821126935
"V16.2" 3 -1.54172941623477 0.908856403101526 -0.52774086838031
"V17.2" 3 -2.35625405204549 -0.536225063771378 0.313432166150887
"V18.2" 3 -1.75030963855271 0.347249998914528 0.801160607040059
"V19.2" 3 -2.83668288573236 -0.24474865860084 -1.37344737887893
"V20.2" 3 -1.30015973989926 1.96618678111792 -2.43371858283934
"V21.2" 3 -2.70666352407319 -0.691313038737842 -3.5042873693705
"V22.2" 3 -1.63713901942122 0.732415722207482 -2.08020568265246
"V23.2" 3 -2.90088968992756 1.61989296474805 -0.804091542889598
"V24.2" 3 -2.94795401623348 0.887878469168555 -2.61932359617618
"V25.2" 3 0.395732486805702 -0.238596498738177 -1.22275237831023
"V26.2" 3 -1.88497403979598 0.0734916972024123 0.248939472972217
"V27.2" 3 -2.66742334197539 0.0286976224710115 -0.992647870437369
"V28.2" 3 -2.83945636146207 0.830894571717384 0.0385281400102995
"V29.2" 3 -3.14992328348795 1.30453768259561 -2.44677669306107
"V30.2" 3 -1.82986648712883 -1.02173829779662 -3.72366922048979
