	"LD1"	"LD2"	"LD3"
"1"	0.00689640098243714	-0.0346738790523707	0.00672625248531888
"2"	0.00702092482185269	-0.0339014961354442	0.00616046774549471
"3"	0.00589795000662005	-0.0337930504276094	0.0077958669116883
"4"	0.00483429353870752	-0.0361251538892787	0.00856732539003234
"5"	0.00377242622891551	-0.0366464461631305	0.00960585427117629
"6"	0.00379985253228136	-0.0364662993758953	0.0109170617625758
"7"	0.00372566368499141	-0.0337148666569437	0.0131123319786914
"8"	0.00545918257579529	-0.0317869813296561	0.0126241669750758
"9"	0.00590747163134165	-0.0277733544446937	0.0135232896380304
"10"	0.00657764194289865	-0.0220797333295312	0.0132070123047449
"11"	0.00541442176309754	-0.0183508189546416	0.0131529196879316
"12"	0.00458135462567419	-0.0178209605212909	0.012748054607577
"13"	0.00335520504887023	-0.0129719259651586	0.0136462363351162
"14"	0.00155020857780991	-0.0121872030675958	0.0126949723758146
"15"	-1.61837388813929E-4	-0.00992392737940031	0.0134089599158391
"16"	-0.00176899701576079	-0.0095256752752079	0.0125037626300367
"17"	-0.0036642588050084	-0.00992312537362362	0.0107317304374305
"18"	-0.00511706630683477	-0.00917369583885118	0.00921187277371469
"19"	-0.00509012118477736	-0.00646943380142037	0.00764950688061721
"20"	-0.00499470977330699	-0.00787607451161417	0.0055965313885446
"21"	-0.00534004260576533	-0.00546656685959766	0.00438288649293359
"22"	-0.00548600902122005	-0.0047713102390451	0.00368738001443311
"23"	-0.00518464924240505	-0.00676304883574996	8.48829201021424E-4
"24"	-0.00541986931397548	-0.00772380706756526	-8.87726503635145E-4
"25"	-0.00483720832153742	-0.00806421552229674	-0.00166867129494137
"26"	-0.00328114949669228	-0.00989621576529514	-0.00470555620574119
"27"	-0.00138202199848935	-0.00868740970597662	-0.00628181878971697
"28"	1.6237645533232E-5	-0.00971482500379472	-0.00856358621158549
"29"	0.0037048648318408	-0.00917454076031023	-0.0119332419701668
"30"	0.00585929402021979	-0.00895608571052828	-0.0161087738745007
"31"	0.00820584145219417	-0.0076908828502218	-0.0185361298779309
"32"	0.00874399683262596	-0.00707941224875683	-0.022337114992792
"33"	0.00950210342689611	-0.00650096325318847	-0.0244907768158792
"34"	0.00857889513896975	-0.00650362655532944	-0.0245352051101542
"35"	0.00816332868130648	-0.00434864450358915	-0.0275150166059901
"36"	0.00696543919373763	-0.00546947082367369	-0.0292360702624763
"37"	0.00841166307711113	-0.00346337445796932	-0.031227380284681
"38"	0.00834332834932951	-0.00189443764439354	-0.0322217320338634
"39"	0.00873592449654038	6.36960446893904E-4	-0.034114628907883
"40"	0.00899636623982692	7.83397663271288E-4	-0.0318965829495186
"41"	0.00899182863468086	0.00247541847503116	-0.0310494523949278
"42"	0.00822448275448837	0.00118588087763115	-0.0300205701143583
